,selected_features
0,gas_vel_rms
1,SteerSpeed_jerk_kurtosis
2,SpeedDif_mean
3,SpeedDif_q5
4,SpeedDif_peaks
5,is_crossing_lane_right_iqrange
6,latvel_acc_mean
7,YawRate_acc_mean
8,YawRate_acc_min
