,selected_features
0,gas_max
1,gas_jerk_skewness
2,steer_rms
3,SteerSpeed_acc_skewness
4,SpeedDif_q5
5,is_crossing_lane_right_mean
6,acc_jerk_min
7,velocity_iqrange_5_95
8,latvel_jerk_max
