,selected_features
0,gas_acc_peaks
1,gas_jerk_q95
2,SteerSpeed_jerk_max
3,SpeedDif_iqrange_5_95
4,is_crossing_lane_left_iqrange_5_95
5,is_crossing_lane_right_peaks
6,Ttc_rms
7,acc_jerk_q95
8,latvel_acc_max
9,latvel_jerk_min
10,YawRate_acc_skewness
