,selected_features
0,brake_min
1,brake_q5
2,brake_acc_iqrange
3,brake_jerk_q95
4,brake_jerk_iqrange
5,brake_jerk_iqrange_5_95
6,brake_vel_iqrange
7,gas_q95
8,gas_acc_mean
9,steer_skewness
10,SteerSpeed_jerk_kurtosis
11,speed_limit_exceeded_max
12,latvel_acc_mean
13,YawRate_acc_mean
