,selected_features
0,brake_std
1,brake_jerk_mean
2,gas_skewness
3,gas_rms
4,SteerSpeed_q95
5,speed_limit_exceeded_q5
6,is_crossing_lane_left_min
7,is_crossing_lane_left_q5
8,is_crossing_lane_right_q5
9,lane_crossing_min
10,lane_crossing_q5
11,lane_crossing_iqrange
12,lane_distance_right_edge_peaks
13,TtcOpp_peaks
14,acc_mean
15,acc_jerk_iqrange_5_95
16,velocity_max
17,velocity_peaks
18,latvel_acc_skewness
19,YawRate_jerk_peaks
