,selected_features
0,gas_jerk_q5
1,gas_vel_std
2,SteerSpeed_mean
3,SteerSpeed_skewness
4,SteerSpeed_jerk_skewness
5,SteerSpeed_jerk_peaks
6,Dhw_rms
7,is_crossing_lane_left_min
8,is_crossing_lane_right_sum
9,YawRate_acc_min
10,YawRate_acc_iqrange_5_95
11,YawRate_acc_peaks
12,YawRate_skewness
13,YawRate_peaks
