,selected_features
0,gas_acc_mean
1,gas_vel_rms
2,SpeedDif_iqrange
3,acc_iqrange
4,acc_jerk_mean
5,acc_jerk_iqrange
6,latvel_jerk_mean
7,latvel_jerk_q5
8,latvel_jerk_q95
9,YawRate_acc_iqrange
10,YawRate_jerk_max
11,YawRate_kurtosis
