,selected_features
0,gas_jerk_q5
1,SteerSpeed_peaks
2,SteerSpeed_acc_peaks
3,Dhw_peaks
4,is_crossing_lane_right_sum
5,lane_distance_left_edge_rms
6,acc_jerk_min
7,velocity_min
